,G,Date,Unnamed: 2,Team,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
467,6,2023-11-27,,Fordham,Manhattan,W,93,61,34,69,.493,9,26,.346,16,20,.800,10,40,16,16,6,10,13,,25,59,.424,6,16,.375,5,9,.556,5,27,13,9,1,20,13
468,7,2023-11-30,,Fordham,FDU,W,80,52,27,61,.443,5,22,.227,21,37,.568,9,40,20,18,2,13,22,,18,55,.327,2,18,.111,14,27,.519,8,33,8,8,2,23,26
469,8,2023-12-03,,Fordham,Tulane,L,81,89,31,73,.425,11,32,.344,8,10,.800,15,34,23,8,5,14,30,,26,48,.542,5,10,.500,32,42,.762,4,28,8,8,3,13,14
470,9,2023-12-06,,Fordham,NJIT,L,77,80,27,56,.482,6,18,.333,17,31,.548,12,35,16,6,11,10,23,,25,55,.455,12,25,.480,18,25,.720,4,25,12,5,1,12,23
471,10,2023-12-10,N,Fordham,North Texas,W,60,59,23,60,.383,8,21,.381,6,12,.500,11,36,14,6,5,12,12,,23,60,.383,5,13,.385,8,11,.727,11,37,9,8,11,13,16
472,11,2023-12-16,@,Fordham,St. John's (NY),L,55,77,15,59,.254,2,18,.111,23,26,.885,9,37,8,5,5,20,18,,30,69,.435,6,18,.333,11,19,.579,10,39,20,9,7,14,22
473,12,2023-12-21,,Fordham,Central Connecticut,L,80,82,28,60,.467,11,28,.393,13,17,.765,11,24,15,11,2,15,21,,27,49,.551,4,11,.364,24,31,.774,7,26,14,7,4,15,14
474,13,2023-12-30,,Fordham,Columbia,W,87,78,28,66,.424,11,33,.333,20,26,.769,12,41,13,7,9,7,17,,26,63,.413,9,22,.409,17,23,.739,6,35,18,4,2,9,19
475,14,2024-01-03,@,Fordham,George Washington,W (3 OT),119,113,39,89,.438,19,42,.452,22,29,.759,18,40,20,11,6,12,22,,40,79,.506,8,18,.444,25,30,.833,10,41,11,7,7,15,22
476,15,2024-01-06,,Fordham,La Salle,L,76,81,27,64,.422,9,24,.375,13,21,.619,13,31,15,12,6,12,22,,25,57,.439,6,15,.400,25,30,.833,12,34,17,6,6,14,18
477,16,2024-01-13,@,Fordham,St. Bonaventure,W,80,74,28,55,.509,9,25,.360,15,23,.652,6,33,13,3,5,8,21,,24,60,.400,6,18,.333,20,22,.909,6,33,8,4,2,9,18
478,17,2024-01-17,,Fordham,Davidson,L,69,79,23,66,.348,7,27,.259,16,19,.842,15,43,14,10,8,13,24,,23,57,.404,6,12,.500,27,34,.794,8,34,11,9,5,11,14
479,18,2024-01-20,,Fordham,Loyola (IL),L,61,65,21,58,.362,6,20,.300,13,18,.722,11,30,10,7,5,10,18,,23,48,.479,4,10,.400,15,20,.750,8,30,10,6,1,14,21
480,19,2024-01-24,@,Fordham,Rhode Island,W,71,68,27,57,.474,8,22,.364,9,25,.360,3,28,11,9,3,6,22,,23,51,.451,4,13,.308,18,30,.600,6,37,15,4,3,14,22
481,20,2024-01-27,@,Fordham,Duquesne,L,59,68,21,57,.368,4,22,.182,13,24,.542,13,39,11,5,3,12,22,,24,51,.471,1,13,.077,19,30,.633,2,27,13,4,7,8,22
482,,,,Fordham,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
483,G,Date,,Fordham,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
484,21,2024-01-31,,Fordham,Richmond,L,69,83,23,56,.411,9,27,.333,14,20,.700,9,31,11,5,4,12,15,,31,53,.585,8,14,.571,13,16,.813,0,24,14,6,1,10,16
485,22,2024-02-03,@,Fordham,Saint Louis,W,67,65,25,66,.379,8,29,.276,9,11,.818,7,25,14,14,8,6,15,,25,53,.472,8,17,.471,7,13,.538,8,36,12,3,5,17,14
486,23,2024-02-06,,Fordham,VCU,L,60,75,23,60,.383,10,26,.385,4,7,.571,9,28,13,10,5,15,14,,26,51,.510,9,21,.429,14,16,.875,3,29,18,6,4,13,12
487,24,2024-02-14,,Fordham,St. Bonaventure,L,67,85,23,54,.426,8,25,.320,13,18,.722,7,23,13,10,4,12,19,,30,50,.600,12,18,.667,13,20,.650,6,26,18,6,4,16,15
488,25,2024-02-17,@,Fordham,Dayton,L,70,78,24,58,.414,9,31,.290,13,15,.867,9,29,11,3,1,10,23,,27,47,.574,7,20,.350,17,25,.680,5,28,13,3,3,6,13
