,G,Date,Unnamed: 2,Team,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
150,9,2023-12-05,@,George Mason,Tennessee,L,66,87,24,56,.429,11,25,.440,7,11,.636,4,25,11,6,4,13,15,,32,65,.492,9,26,.346,14,22,.636,11,40,27,8,4,9,12
151,10,2023-12-16,,George Mason,Loyola (MD),W,62,54,19,49,.388,4,20,.200,20,29,.690,11,41,8,1,5,8,14,,18,58,.310,6,23,.261,12,17,.706,10,33,10,6,1,7,19
152,11,2023-12-19,,George Mason,Bridgewater (VA),W,84,60,31,52,.596,3,11,.273,19,25,.760,5,40,9,4,7,16,16,,21,68,.309,12,35,.343,6,12,.500,12,28,14,8,4,10,17
153,12,2023-12-22,@,George Mason,Tulane,W,69,66,23,53,.434,8,21,.381,15,21,.714,7,41,15,5,6,15,18,,20,58,.345,10,31,.323,16,21,.762,5,28,12,12,4,8,16
154,13,2023-12-30,,George Mason,North Carolina A&T,W,94,69,34,58,.586,6,22,.273,20,25,.800,10,35,16,6,4,11,18,,23,56,.411,7,21,.333,16,25,.640,8,23,8,8,1,10,18
155,14,2024-01-03,@,George Mason,La Salle,W,77,62,29,55,.527,7,13,.538,12,15,.800,9,38,15,4,2,13,13,,23,61,.377,9,29,.310,7,9,.778,3,20,12,7,4,7,13
156,15,2024-01-06,,George Mason,Saint Louis,W,79,67,22,50,.440,8,22,.364,27,34,.794,8,23,7,6,2,5,13,,26,54,.481,7,20,.350,8,11,.727,6,28,11,3,4,16,26
157,16,2024-01-09,,George Mason,VCU,L,50,54,20,54,.370,0,15,.000,10,13,.769,9,29,3,9,2,11,14,,18,51,.353,7,25,.280,11,15,.733,9,34,10,10,5,11,14
158,17,2024-01-13,@,George Mason,Richmond,L,70,77,25,55,.455,8,22,.364,12,14,.857,8,31,14,3,1,10,20,,24,50,.480,10,20,.500,19,21,.905,4,26,10,7,2,7,14
159,18,2024-01-15,@,George Mason,George Washington,L,62,75,22,67,.328,5,23,.217,13,15,.867,11,32,12,12,3,11,17,,23,54,.426,8,21,.381,21,24,.875,10,39,11,4,7,16,13
160,19,2024-01-20,,George Mason,St. Bonaventure,W,69,60,23,49,.469,7,21,.333,16,23,.696,7,29,10,3,1,12,14,,21,59,.356,7,25,.280,11,12,.917,11,30,6,4,3,10,23
161,20,2024-01-27,,George Mason,Rhode Island,W,92,84,30,59,.508,7,22,.318,25,33,.758,9,36,10,3,4,2,18,,29,57,.509,13,27,.481,13,24,.542,6,29,12,1,1,8,29
162,,,,George Mason,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
163,G,Date,,George Mason,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
164,21,2024-01-31,@,George Mason,St. Joseph's,L,73,75,28,61,.459,10,27,.370,7,11,.636,4,25,16,6,1,9,13,,28,55,.509,8,22,.364,11,17,.647,8,32,12,8,7,11,11
165,22,2024-02-03,@,George Mason,UMass,L,65,66,22,53,.415,7,18,.389,14,19,.737,9,23,14,10,1,13,22,,21,54,.389,7,22,.318,17,24,.708,16,37,13,9,4,16,19
166,23,2024-02-07,,George Mason,Loyola (IL),L,79,85,22,37,.595,9,17,.529,26,33,.788,4,25,9,3,2,17,23,,27,53,.509,11,26,.423,20,26,.769,4,15,14,7,3,6,26
167,24,2024-02-10,@,George Mason,Davidson,W,57,55,19,46,.413,6,16,.375,13,18,.722,9,34,8,4,2,14,16,,18,52,.346,7,27,.259,12,13,.923,9,27,11,7,4,10,15
168,25,2024-02-13,,George Mason,George Washington,W,90,67,34,60,.567,10,26,.385,12,17,.706,8,39,14,5,4,9,14,,26,65,.400,8,27,.296,7,10,.700,7,28,10,7,2,7,16
169,26,2024-02-21,,George Mason,Dayton,W,71,67,21,44,.477,5,17,.294,24,29,.828,9,29,9,2,4,11,15,,23,56,.411,11,26,.423,10,14,.714,9,22,17,6,1,6,20
170,27,2024-02-24,@,George Mason,Loyola (IL),L,59,80,18,54,.333,5,22,.227,18,24,.750,12,29,11,8,4,15,20,,30,54,.556,10,21,.476,10,20,.500,11,32,24,12,3,11,21
171,28,2024-02-27,@,George Mason,Fordham,L,60,61,22,51,.431,5,15,.333,11,15,.733,7,34,12,3,5,14,15,,19,59,.322,12,30,.400,11,14,.786,12,30,12,7,8,7,16
172,29,2024-03-02,,George Mason,Duquesne,L,51,59,18,48,.375,4,20,.200,11,19,.579,10,26,8,10,2,15,19,,19,39,.487,3,15,.200,18,22,.818,3,26,9,12,3,18,21
173,30,2024-03-06,@,George Mason,Rhode Island,W,69,51,25,57,.439,9,26,.346,10,16,.625,8,37,12,5,4,5,19,,15,51,.294,4,19,.211,17,26,.654,8,30,7,2,6,8,13
174,31,2024-03-09,,George Mason,Richmond,W,64,46,26,50,.520,7,17,.412,5,9,.556,5,28,12,7,3,9,14,,19,46,.413,4,15,.267,4,8,.500,4,23,8,4,1,13,10
175,32,2024-03-13,N,George Mason,St. Joseph's,L,57,64,23,56,.411,1,13,.077,10,11,.909,8,29,8,5,6,8,13,,23,51,.451,10,27,.370,8,10,.800,5,25,14,6,4,8,12
176,1,2023-11-06,,Dayton,SIU-Edwardsville,W,63,47,20,48,.417,5,23,.217,18,22,.818,6,33,17,6,3,10,16,,16,50,.320,5,12,.417,10,15,.667,6,28,7,7,1,12,20
177,2,2023-11-10,@,Dayton,Northwestern,L,66,71,21,39,.538,12,23,.522,12,15,.800,3,21,16,3,1,15,17,,25,53,.472,5,14,.357,16,20,.800,10,25,14,9,1,6,14
178,3,2023-11-16,N,Dayton,LSU,W,70,67,22,56,.393,11,34,.324,15,22,.682,11,30,12,9,2,10,11,,26,49,.531,7,16,.438,8,12,.667,4,27,13,8,4,14,18
179,4,2023-11-17,N,Dayton,St. John's (NY),W,88,81,29,56,.518,7,17,.412,23,28,.821,7,28,12,8,3,11,17,,30,62,.484,7,18,.389,14,18,.778,12,35,13,4,1,14,22
180,5,2023-11-19,N,Dayton,Houston,L,55,69,19,47,.404,4,18,.222,13,16,.813,5,22,15,3,3,11,10,,27,63,.429,8,20,.400,7,8,.875,13,33,11,7,4,6,14
181,6,2023-11-24,,Dayton,Youngstown State,W,77,69,26,51,.510,10,23,.435,15,26,.577,6,35,15,3,9,8,11,,25,61,.410,13,29,.448,6,10,.600,4,30,14,4,2,7,20
182,7,2023-11-29,@,Dayton,SMU,W,65,63,24,51,.471,10,20,.500,7,10,.700,10,28,16,8,6,16,9,,26,63,.413,5,22,.227,6,8,.750,13,30,12,10,5,13,11
183,8,2023-12-02,,Dayton,Grambling,W,76,46,28,56,.500,14,28,.500,6,10,.600,11,35,21,4,8,12,11,,18,59,.305,2,19,.105,8,10,.800,11,25,9,7,2,8,13
184,9,2023-12-06,,Dayton,UNLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,10,2023-12-09,,Dayton,Troy,W,82,70,29,55,.527,10,20,.500,14,20,.700,9,35,13,5,10,11,20,,24,60,.400,11,28,.393,11,14,.786,9,27,16,7,5,11,20
186,11,2023-12-16,N,Dayton,Cincinnati,W,82,68,23,49,.469,8,21,.381,28,30,.933,5,32,9,3,7,6,13,,27,73,.370,6,25,.240,8,16,.500,18,37,11,3,3,6,19
187,12,2023-12-20,,Dayton,Oakland,W,91,67,31,62,.500,18,34,.529,11,14,.786,9,32,26,4,3,2,11,,26,60,.433,8,25,.320,7,9,.778,8,29,14,2,5,7,7
188,13,2023-12-30,,Dayton,Longwood,W,78,69,27,51,.529,11,27,.407,13,18,.722,4,25,17,7,3,5,14,,27,61,.443,6,15,.400,9,12,.750,11,34,15,3,1,7,16
189,14,2024-01-03,@,Dayton,Davidson,W,72,59,26,52,.500,7,21,.333,13,22,.591,7,33,11,12,2,12,14,,21,54,.389,10,30,.333,7,11,.636,7,29,15,4,2,14,19
190,15,2024-01-07,,Dayton,UMass,W,64,60,18,47,.383,10,29,.345,18,21,.857,6,29,12,4,2,11,11,,24,66,.364,3,22,.136,9,15,.600,18,41,11,7,1,8,19
191,16,2024-01-12,@,Dayton,Duquesne,W,72,62,25,53,.472,7,19,.368,15,19,.789,10,34,14,7,4,15,10,,25,62,.403,8,30,.267,4,5,.800,9,25,10,10,4,13,14
192,17,2024-01-16,,Dayton,Saint Louis,W,70,65,23,54,.426,8,28,.286,16,29,.552,11,40,12,6,6,8,11,,27,66,.409,8,23,.348,3,7,.429,10,36,15,5,2,10,19
193,18,2024-01-20,,Dayton,Rhode Island,W,96,62,33,59,.559,16,27,.593,14,20,.700,7,34,24,5,3,2,16,,21,53,.396,8,20,.400,12,18,.667,9,29,8,2,1,11,15
194,19,2024-01-23,@,Dayton,La Salle,W,66,54,27,57,.474,5,19,.263,7,8,.875,4,28,14,6,3,8,11,,21,59,.356,8,29,.276,4,5,.800,7,31,12,4,2,8,13
195,20,2024-01-27,@,Dayton,Richmond,L,64,69,20,59,.339,10,33,.303,14,20,.700,12,42,7,4,4,11,23,,21,55,.382,4,19,.211,23,30,.767,7,37,8,5,1,7,18
196,,,,Dayton,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
197,G,Date,,Dayton,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
198,21,2024-01-30,,Dayton,George Washington,W,83,61,29,60,.483,12,24,.500,13,16,.813,6,37,18,5,4,8,13,,21,65,.323,5,29,.172,14,17,.824,10,34,8,4,4,9,15
199,22,2024-02-02,,Dayton,St. Bonaventure,W,76,71,25,51,.490,3,15,.200,23,29,.793,8,30,11,2,7,6,11,,28,66,.424,10,30,.333,5,8,.625,11,33,13,4,1,6,22
200,23,2024-02-06,@,Dayton,St. Joseph's,W,94,79,33,58,.569,12,22,.545,16,22,.727,8,28,19,4,3,12,13,,31,64,.484,13,37,.351,4,8,.500,8,25,15,6,3,12,17
201,24,2024-02-09,@,Dayton,VCU,L,47,49,17,47,.362,4,17,.235,9,18,.500,2,29,9,5,1,8,11,,20,53,.377,5,21,.238,4,8,.500,4,34,13,6,4,8,12
202,25,2024-02-13,,Dayton,Duquesne,W,75,59,26,55,.473,7,22,.318,16,23,.696,7,29,12,6,3,4,10,,26,52,.500,6,20,.300,1,3,.333,4,26,18,4,4,11,17
203,26,2024-02-17,,Dayton,Fordham,W,78,70,27,47,.574,7,20,.350,17,25,.680,5,28,13,3,3,6,13,,24,58,.414,9,31,.290,13,15,.867,9,29,11,3,1,10,23
204,27,2024-02-21,@,Dayton,George Mason,L,67,71,23,56,.411,11,26,.423,10,14,.714,9,22,17,6,1,6,20,,21,44,.477,5,17,.294,24,29,.828,9,29,9,2,4,11,15
205,28,2024-02-27,,Dayton,Davidson,W,80,66,29,54,.537,12,28,.429,10,12,.833,4,33,17,7,6,13,13,,22,58,.379,8,27,.296,14,16,.875,5,25,15,8,3,7,11
206,29,2024-03-01,@,Dayton,Loyola (IL),L,72,77,24,46,.522,7,15,.467,17,20,.850,2,27,10,8,7,20,16,,26,59,.441,11,27,.407,14,19,.737,4,24,20,15,7,11,19
207,30,2024-03-05,@,Dayton,Saint Louis,W,100,83,36,65,.554,18,33,.545,10,14,.714,12,37,20,6,2,11,15,,31,61,.508,6,23,.261,15,16,.938,3,16,13,8,3,6,13
208,31,2024-03-08,,Dayton,VCU,W (1 OT),91,86,30,56,.536,12,22,.545,19,25,.760,5,35,19,4,2,14,12,,32,71,.451,18,42,.429,4,6,.667,9,29,13,6,5,11,21
209,32,2024-03-14,N,Dayton,Duquesne,L,57,65,16,50,.320,7,26,.269,18,25,.720,7,26,10,4,3,7,13,,24,57,.421,7,22,.318,10,13,.769,8,39,11,4,6,11,19
210,33,2024-03-21,N,Dayton,Nevada,W,63,60,21,46,.457,8,19,.421,13,15,.867,3,28,16,7,2,12,14,,25,58,.431,7,22,.318,3,6,.500,7,27,13,8,2,12,14
211,34,2024-03-23,N,Dayton,Arizona,L,68,78,24,59,.407,7,24,.292,13,15,.867,4,23,9,8,3,14,17,,28,53,.528,8,18,.444,14,20,.700,5,31,17,9,6,14,18
212,1,2023-11-06,,George Washington,Stonehill,W,89,44,33,65,.508,15,36,.417,8,14,.571,7,46,17,9,5,13,10,,15,70,.214,5,33,.152,9,12,.750,9,34,10,4,1,14,12
213,2,2023-11-11,,George Washington,William & Mary,W,95,89,28,56,.500,6,17,.353,33,38,.868,3,32,9,6,8,11,13,,31,77,.403,18,44,.409,9,9,1.000,9,34,23,6,3,11,24
214,3,2023-11-14,,George Washington,Hofstra,W,71,60,27,66,.409,8,23,.348,9,9,1.000,5,39,12,11,5,13,14,,25,67,.373,7,27,.259,3,3,1.000,3,32,12,6,6,15,13
215,4,2023-11-18,,George Washington,New Hampshire,W,79,67,25,56,.446,9,23,.391,20,25,.800,7,42,15,5,10,16,15,,26,72,.361,4,31,.129,11,17,.647,9,33,8,9,0,7,15
216,5,2023-11-24,N,George Washington,Ohio,W (2 OT),99,94,33,70,.471,12,29,.414,21,27,.778,4,36,14,8,1,19,19,,35,79,.443,9,33,.273,15,25,.600,11,40,8,8,7,18,19
217,6,2023-11-25,N,George Washington,UIC,L,79,89,27,66,.409,8,26,.308,17,23,.739,7,32,11,5,1,11,18,,32,63,.508,13,32,.406,12,21,.571,8,34,14,5,7,11,19
218,7,2023-11-26,N,George Washington,Delaware,W,81,71,30,57,.526,5,17,.294,16,19,.842,5,32,8,7,5,13,12,,30,68,.441,4,24,.167,7,10,.700,7,25,15,6,3,11,14
219,8,2023-12-01,@,George Washington,South Carolina,L,67,89,25,60,.417,11,22,.500,6,8,.750,9,33,15,3,4,10,9,,33,66,.500,18,35,.514,5,7,.714,9,31,19,7,6,3,9
220,9,2023-12-05,,George Washington,Navy,W (1 OT),79,77,27,57,.474,7,24,.292,18,33,.545,9,38,17,6,15,17,22,,24,76,.316,7,23,.304,22,24,.917,14,38,11,9,0,10,27
221,10,2023-12-09,,George Washington,Coppin State,W,76,45,28,61,.459,9,25,.360,11,14,.786,9,44,20,6,8,17,7,,20,77,.260,2,22,.091,3,4,.750,14,33,8,9,6,9,12
222,11,2023-12-12,,George Washington,Bowie State,W,88,73,29,57,.509,12,28,.429,18,23,.783,8,39,15,6,3,15,13,,32,74,.432,8,20,.400,1,4,.250,9,30,21,9,2,11,19
223,12,2023-12-21,,George Washington,Alcorn State,W,79,75,24,50,.480,15,34,.441,16,23,.696,6,27,16,6,5,14,11,,32,72,.444,4,15,.267,7,8,.875,12,36,10,7,3,15,19
224,13,2023-12-30,,George Washington,Maryland-Eastern Shore,W,69,63,22,53,.415,4,20,.200,21,35,.600,11,36,13,7,8,10,9,,23,67,.343,8,24,.333,9,12,.750,13,38,12,8,3,13,23
225,14,2024-01-03,,George Washington,Fordham,L (3 OT),113,119,40,79,.506,8,18,.444,25,30,.833,10,41,11,7,7,15,22,,39,89,.438,19,42,.452,22,29,.759,18,40,20,11,6,12,22
226,15,2024-01-06,@,George Washington,VCU,W,84,82,27,49,.551,9,16,.563,21,26,.808,2,25,10,5,6,10,15,,27,65,.415,11,24,.458,17,22,.773,12,31,13,5,3,8,19
227,16,2024-01-13,,George Washington,Davidson,W (1 OT),83,79,31,66,.470,13,29,.448,8,20,.400,11,34,15,7,4,13,17,,31,65,.477,8,25,.320,9,19,.474,12,40,11,6,3,13,22
228,17,2024-01-15,,George Washington,George Mason,W,75,62,23,54,.426,8,21,.381,21,24,.875,10,39,11,4,7,16,13,,22,67,.328,5,23,.217,13,15,.867,11,32,12,12,3,11,17
229,18,2024-01-20,@,George Washington,UMass,L,67,81,21,58,.362,9,26,.346,16,20,.800,9,32,14,7,0,15,14,,33,65,.508,8,27,.296,7,11,.636,9,35,22,5,3,8,17
230,19,2024-01-24,@,George Washington,Richmond,L,74,82,27,72,.375,9,29,.310,11,13,.846,13,45,6,5,4,9,15,,27,60,.450,12,23,.522,16,20,.800,5,34,11,8,3,7,9
231,20,2024-01-27,,George Washington,La Salle,L,70,80,24,64,.375,3,18,.167,19,24,.792,11,37,7,8,5,9,16,,30,61,.492,10,19,.526,10,13,.769,4,31,15,5,6,9,17
232,,,,George Washington,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
233,G,Date,,George Washington,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
234,21,2024-01-30,@,George Washington,Dayton,L,61,83,21,65,.323,5,29,.172,14,17,.824,10,34,8,4,4,9,15,,29,60,.483,12,24,.500,13,16,.813,6,37,18,5,4,8,13
235,22,2024-02-06,,George Washington,Rhode Island,L,65,88,25,61,.410,5,29,.172,10,19,.526,8,26,12,7,5,14,21,,33,64,.516,4,16,.250,18,22,.818,10,38,11,8,5,11,16
236,23,2024-02-10,,George Washington,Loyola (IL),L,73,81,21,60,.350,10,30,.333,21,27,.778,11,33,11,5,7,8,19,,30,69,.435,9,28,.321,12,14,.857,11,39,18,5,4,6,21
237,24,2024-02-13,@,George Washington,George Mason,L,67,90,26,65,.400,8,27,.296,7,10,.700,7,28,10,7,2,7,16,,34,60,.567,10,26,.385,12,17,.706,8,39,14,5,4,9,14
238,25,2024-02-17,,George Washington,Richmond,L,74,90,26,64,.406,11,27,.407,11,15,.733,7,29,10,3,0,7,14,,36,64,.563,7,18,.389,11,13,.846,4,32,21,3,4,4,12
239,26,2024-02-21,@,George Washington,St. Joseph's,L,75,79,26,57,.456,12,27,.444,11,13,.846,4,23,13,3,4,7,21,,25,53,.472,9,22,.409,20,27,.741,8,32,16,4,4,5,10
240,27,2024-02-24,@,George Washington,Saint Louis,L,91,96,31,60,.517,11,29,.379,18,23,.783,6,30,12,4,4,10,24,,28,55,.509,13,26,.500,27,33,.818,6,30,17,5,3,7,16
241,28,2024-02-27,,George Washington,UMass,L,57,69,21,52,.404,6,28,.214,9,12,.750,9,25,10,10,0,12,7,,30,58,.517,8,24,.333,1,4,.250,7,29,18,8,2,13,10
242,29,2024-03-02,@,George Washington,La Salle,L,66,72,24,51,.471,7,18,.389,11,14,.786,4,28,6,1,5,8,10,,28,65,.431,7,21,.333,9,11,.818,10,29,12,8,1,3,8
243,30,2024-03-06,,George Washington,St. Bonaventure,W,86,75,27,46,.587,15,29,.517,17,23,.739,4,26,19,6,3,12,10,,27,56,.482,11,24,.458,10,12,.833,4,21,11,7,1,7,21
244,31,2024-03-09,@,George Washington,Duquesne,L,65,67,25,55,.455,7,19,.368,8,9,.889,7,27,15,7,6,12,11,,26,57,.456,4,12,.333,11,11,1.000,8,32,10,8,6,11,9
245,32,2024-03-12,N,George Washington,La Salle,L,60,61,17,49,.347,10,23,.435,16,24,.667,6,40,13,4,2,10,13,,24,67,.358,8,23,.348,5,8,.625,10,36,10,7,2,4,17
246,1,2023-11-06,,Rhode Island,Central Connecticut,W,81,70,32,57,.561,5,12,.417,12,23,.522,9,32,18,9,3,13,15,,28,67,.418,5,21,.238,9,13,.692,12,29,13,5,7,11,20
247,2,2023-11-09,,Rhode Island,Fairfield,W,93,80,34,65,.523,9,21,.429,16,29,.552,14,44,21,11,2,18,21,,25,68,.368,13,36,.361,17,21,.810,13,33,15,8,3,14,20
248,3,2023-11-14,,Rhode Island,Wagner,W,69,53,26,50,.520,2,10,.200,15,26,.577,9,42,16,4,3,9,12,,19,60,.317,10,28,.357,5,9,.556,5,23,15,6,2,5,20
249,4,2023-11-18,N,Rhode Island,Northwestern,L,61,72,19,49,.388,8,19,.421,15,22,.682,9,27,6,4,4,14,15,,27,62,.435,8,19,.421,10,13,.769,17,37,17,8,6,9,21
250,5,2023-11-19,N,Rhode Island,Washington State,L,57,78,22,53,.415,3,17,.176,10,12,.833,4,23,9,1,2,11,18,,33,64,.516,3,17,.176,9,16,.563,11,33,13,9,8,5,16
251,6,2023-11-22,,Rhode Island,Johnson & Wales (RI),W,97,59,35,69,.507,7,21,.333,20,31,.645,18,52,16,5,6,6,12,,23,64,.359,9,25,.360,4,11,.364,6,23,8,3,9,10,20
252,7,2023-11-26,,Rhode Island,Yale,W,76,72,31,61,.508,8,20,.400,6,12,.500,13,33,15,4,3,10,9,,29,59,.492,10,26,.385,4,6,.667,6,25,13,6,6,5,15
253,8,2023-12-02,@,Rhode Island,Providence,L,69,84,28,62,.452,6,12,.500,7,15,.467,7,31,8,5,2,11,19,,32,65,.492,8,20,.400,12,16,.750,10,40,12,9,5,9,14
254,9,2023-12-06,,Rhode Island,Brown,L,64,67,23,49,.469,3,13,.231,15,31,.484,10,37,13,4,2,12,17,,21,55,.382,10,27,.370,15,25,.600,10,29,12,9,5,8,21
255,10,2023-12-10,@,Rhode Island,College of Charleston,L,70,85,29,61,.475,9,23,.391,3,4,.750,4,26,11,5,3,17,14,,34,67,.507,10,23,.435,7,13,.538,10,36,16,10,3,11,10
256,11,2023-12-16,N,Rhode Island,Delaware,L,56,67,21,50,.420,5,17,.294,9,10,.900,7,32,14,7,6,19,14,,23,58,.397,5,21,.238,16,18,.889,10,25,14,12,3,12,11
257,12,2023-12-21,,Rhode Island,New Hampshire,L,71,81,25,65,.385,5,22,.227,16,24,.667,11,37,12,5,6,12,16,,28,65,.431,13,24,.542,12,19,.632,10,42,14,6,1,11,19
258,13,2023-12-30,,Rhode Island,Northeastern,W,82,71,31,56,.554,7,16,.438,13,20,.650,9,32,16,10,5,15,13,,28,55,.509,3,13,.231,12,16,.750,5,19,13,9,5,15,18
259,14,2024-01-03,,Rhode Island,St. Joseph's,W,78,74,25,61,.410,6,25,.240,22,35,.629,11,38,18,7,4,9,20,,25,63,.397,8,30,.267,16,26,.615,12,38,12,8,3,11,25
260,15,2024-01-09,@,Rhode Island,Davidson,W,79,74,25,49,.510,7,20,.350,22,33,.667,5,31,12,3,4,12,21,,25,55,.455,9,23,.391,15,23,.652,7,26,14,5,2,8,22
261,16,2024-01-13,,Rhode Island,UMass,W,89,77,27,52,.519,14,23,.609,21,28,.750,8,34,14,0,2,9,23,,27,66,.409,3,15,.200,20,28,.714,14,32,9,3,4,3,24
262,17,2024-01-17,@,Rhode Island,St. Bonaventure,L,64,99,22,54,.407,6,19,.316,14,22,.636,9,33,11,3,0,18,16,,38,66,.576,11,24,.458,12,17,.706,7,25,22,9,8,4,19
263,18,2024-01-20,@,Rhode Island,Dayton,L,62,96,21,53,.396,8,20,.400,12,18,.667,9,29,8,2,1,11,15,,33,59,.559,16,27,.593,14,20,.700,7,34,24,5,3,2,16
264,19,2024-01-24,,Rhode Island,Fordham,L,68,71,23,51,.451,4,13,.308,18,30,.600,6,37,15,4,3,14,22,,27,57,.474,8,22,.364,9,25,.360,3,28,11,9,3,6,22
265,20,2024-01-27,@,Rhode Island,George Mason,L,84,92,29,57,.509,13,27,.481,13,24,.542,6,29,12,1,1,8,29,,30,59,.508,7,22,.318,25,33,.758,9,36,10,3,4,2,18
266,,,,Rhode Island,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
267,G,Date,,Rhode Island,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
268,21,2024-01-31,,Rhode Island,La Salle,W,71,69,24,56,.429,5,12,.417,18,27,.667,9,39,13,2,3,11,17,,26,71,.366,8,31,.258,9,18,.500,12,32,15,8,5,7,17
269,22,2024-02-03,,Rhode Island,Duquesne,L,71,85,26,58,.448,5,18,.278,14,20,.700,7,23,12,6,2,10,17,,28,53,.528,14,27,.519,15,17,.882,5,28,20,5,6,13,18
270,23,2024-02-06,@,Rhode Island,George Washington,W,88,65,33,64,.516,4,16,.250,18,22,.818,10,38,11,8,5,11,16,,25,61,.410,5,29,.172,10,19,.526,8,26,12,7,5,14,21
271,24,2024-02-11,@,Rhode Island,UMass,L,79,81,29,61,.475,8,15,.533,13,16,.813,6,24,15,6,3,12,18,,31,64,.484,11,28,.393,8,18,.444,8,31,20,9,2,9,13
272,25,2024-02-18,,Rhode Island,Loyola (IL),L,67,77,25,56,.446,4,17,.235,13,22,.591,4,24,13,8,4,8,16,,28,61,.459,6,24,.250,15,17,.882,11,41,15,6,9,12,21
273,26,2024-02-21,,Rhode Island,Richmond,L,77,85,27,59,.458,9,19,.474,14,18,.778,9,29,17,4,2,12,17,,33,60,.550,9,21,.429,10,18,.556,6,30,21,6,3,7,17
274,27,2024-02-25,@,Rhode Island,La Salle,L,61,84,25,62,.403,6,22,.273,5,9,.556,6,28,10,5,2,14,15,,31,61,.508,12,26,.462,10,13,.769,4,31,18,8,6,9,14
275,28,2024-02-28,@,Rhode Island,VCU,L,67,88,22,53,.415,9,28,.321,14,18,.778,6,24,13,4,4,15,17,,30,62,.484,10,29,.345,18,21,.857,10,36,15,10,4,10,17
276,29,2024-03-02,,Rhode Island,Saint Louis,L,91,94,29,56,.518,11,25,.440,22,32,.688,13,30,12,2,2,12,20,,33,61,.541,11,21,.524,17,21,.810,9,26,19,6,6,5,21
277,30,2024-03-06,,Rhode Island,George Mason,L,51,69,15,51,.294,4,19,.211,17,26,.654,8,30,7,2,6,8,13,,25,57,.439,9,26,.346,10,16,.625,8,37,12,5,4,5,19
278,31,2024-03-09,@,Rhode Island,Fordham,W,58,50,18,46,.391,3,19,.158,19,30,.633,6,37,8,6,1,15,17,,17,63,.270,7,29,.241,9,15,.600,9,34,10,5,6,11,22
279,32,2024-03-12,N,Rhode Island,Saint Louis,L,71,74,25,54,.463,6,19,.316,15,24,.625,7,31,12,4,3,11,17,,28,59,.475,6,22,.273,12,20,.600,8,34,20,7,3,9,19
280,1,2023-11-06,,Richmond,VMI,W,93,75,28,63,.444,13,37,.351,24,32,.750,10,41,16,11,3,7,12,,29,65,.446,8,19,.421,9,14,.643,9,37,11,4,0,14,20
281,2,2023-11-11,,Richmond,Siena,W,90,48,35,59,.593,10,18,.556,10,15,.667,3,26,21,14,1,7,13,,20,50,.400,4,20,.200,4,11,.364,9,27,9,4,8,21,18
282,3,2023-11-15,@,Richmond,Boston College,L,61,68,24,60,.400,5,19,.263,8,12,.667,6,29,10,6,6,5,15,,22,59,.373,7,18,.389,17,19,.895,12,41,13,3,3,11,13
283,4,2023-11-20,N,Richmond,Colorado,L,59,64,23,51,.451,5,20,.250,8,11,.727,6,24,6,7,2,12,21,,20,47,.426,3,10,.300,21,25,.840,7,28,9,7,2,12,11
